Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After,
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.136,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020,
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15.161,18.310,18.256,18.842,19.858,21.219,22.528,23.889,2020,
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",144.922,162.711,187.155,190.254,196.624,205.435,215.544,224.042,2021,
Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.885,3.330,3.302,3.360,3.517,3.680,3.835,3.985,2021,
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",58.125,75.179,124.794,135.558,142.198,149.076,156.463,164.414,2021,
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.370,1.471,1.692,1.867,2.014,2.137,2.239,2.345,2020,
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",389.064,486.702,630.698,643.797,642.696,625.695,633.282,662.416,2020,
Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.641,13.928,17.693,19.460,20.987,22.901,24.533,26.316,2021,
Aruba,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.610,3.126,3.499,3.676,3.833,3.996,4.166,4.328,2021,
Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,357.639","1,635.255","1,724.787","1,787.948","1,837.686","1,913.523","1,994.128","2,081.613",2021,
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",432.912,477.084,468.046,472.686,494.052,516.742,540.286,564.321,2021,
Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.693,54.622,70.066,71.212,75.033,79.025,82.999,87.282,2021,
The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.700,11.209,12.693,13.752,14.529,15.136,15.704,16.274,2021,
Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",34.723,38.869,43.544,45.032,46.743,48.673,50.825,53.142,2020,
Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",373.902,416.265,460.751,484.756,541.974,603.748,667.863,738.569,2022,
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.677,4.854,5.788,6.277,6.670,7.034,7.354,7.636,2020,
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",61.312,68.208,79.704,91.985,95.060,98.046,100.518,103.598,2020,
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",521.260,599.107,589.491,596.743,619.313,642.311,666.456,690.722,2021,
Belize,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.019,2.426,2.676,2.858,2.980,3.101,3.227,3.358,2020,
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15.674,17.699,17.547,18.247,19.639,21.459,23.461,25.642,2021,
Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.421,2.442,2.707,2.958,3.244,3.554,3.868,4.196,2021,
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",36.897,40.703,43.431,45.989,49.026,52.161,55.390,58.762,2021,
Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.951,23.365,23.681,24.531,26.253,27.831,29.525,31.273,2021,
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.930,17.614,18.005,18.668,20.084,21.484,23.199,25.058,2021,
Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,448.550","1,608.080","1,894.708","2,059.443","2,200.916","2,319.460","2,436.707","2,568.056",2021,
Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.006,14.006,18.464,17.937,18.080,18.366,18.705,19.313,2021,
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",69.995,80.327,85.008,89.333,95.202,100.451,106.257,112.542,2021,
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",17.378,19.095,18.268,18.946,20.382,21.996,23.779,25.530,2020,
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.086,3.351,3.686,3.995,4.351,4.741,5.113,5.497,2019,
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.871,2.112,2.053,2.140,2.315,2.507,2.704,2.900,2020,
Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25.192,26.313,28.330,30.708,33.322,36.115,39.188,42.509,2020,
Cameroon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.863,45.391,44.212,46.017,49.690,53.582,57.718,62.158,2021,
Canada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,645.423","1,988.336","2,200.352","2,326.620","2,420.683","2,531.243","2,630.342","2,728.384",2021,
Central African Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.389,2.584,2.488,2.639,2.826,3.029,3.243,3.466,2020,
Chad,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.728,11.796,12.945,13.523,14.228,15.016,15.901,16.832,2017,
Chile,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",252.346,316.770,310.866,347.570,358.787,375.109,390.696,407.865,2021,
China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","14,862.564","17,744.640","18,321.197","19,243.974","20,699.148","22,404.019","24,295.368","26,437.719",2021,
Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",270.415,314.409,342.919,361.941,380.374,400.263,421.988,444.716,2021,
