,average_temperature,precipitation,windspeed,city,date
2021-02-01,-1.4,90.3,16.2,Moscow,2021-02-01
2021-04-01,9.1,13.8,13.6,Moscow,2021-04-01
2021-05-01,12.5,11.7,13.1,Moscow,2021-05-01
2021-06-01,19.9,22.2,10.1,Moscow,2021-06-01
2021-07-01,22.7,5.7,5.9,Moscow,2021-07-01
2021-08-01,20.2,10.7,9.6,Moscow,2021-08-01
2021-09-01,15.5,24.0,9.4,Moscow,2021-09-01
2021-10-01,8.8,51.6,10.6,Moscow,2021-10-01
2021-11-01,5.1,102.6,15.6,Moscow,2021-11-01
2021-12-01,-1.4,116.8,13.6,Moscow,2021-12-01
2022-01-01,-0.8,67.1,14.9,Moscow,2022-01-01
2022-02-01,0.1,40.0,13.4,Moscow,2022-02-01
2022-04-01,4.9,69.0,16.4,Moscow,2022-04-01
2022-05-01,9.5,69.7,12.6,Moscow,2022-05-01
2022-06-01,15.3,197.0,10.7,Moscow,2022-06-01
2022-07-01,20.8,15.6,6.5,Moscow,2022-07-01
2022-08-01,22.2,4.8,7.6,Moscow,2022-08-01
2022-09-01,16.9,56.2,7.6,Moscow,2022-09-01
2022-10-01,11.5,46.3,8.8,Moscow,2022-10-01
2022-11-01,-0.3,118.6,14.1,Moscow,2022-11-01
2021-02-01,7.7,63.3,15.7,Istanbul,2021-02-01
2021-03-01,7.4,114.4,15.2,Istanbul,2021-03-01
2021-04-01,11.7,76.3,14.1,Istanbul,2021-04-01
2021-05-01,18.4,52.5,13.9,Istanbul,2021-05-01
2021-06-01,21.3,75.4,11.7,Istanbul,2021-06-01
2021-07-01,26.6,47.1,16.5,Istanbul,2021-07-01
2021-08-01,26.7,16.5,16.4,Istanbul,2021-08-01
2021-09-01,21.1,33.5,17.3,Istanbul,2021-09-01
2021-10-01,15.8,34.9,17.4,Istanbul,2021-10-01
2021-11-01,13.2,73.7,14.8,Istanbul,2021-11-01
2021-12-01,9.9,114.9,17.9,Istanbul,2021-12-01
2022-01-01,5.8,93.9,17.6,Istanbul,2022-01-01
2022-02-01,7.2,128.1,15.0,Istanbul,2022-02-01
2022-03-01,5.4,62.1,16.1,Istanbul,2022-03-01
2022-04-01,13.2,91.4,13.8,Istanbul,2022-04-01
2022-06-01,23.0,36.6,16.4,Istanbul,2022-06-01
2022-07-01,25.3,12.3,20.0,Istanbul,2022-07-01
2022-08-01,26.3,53.6,16.7,Istanbul,2022-08-01
