hpi_rank,country,population_(thousands),year,life_expectancy,ladder_of_life_(0-10),footprint_(g_ha),hpi_score,biocapacity_for_year_(g_ha),gdp_per_capita_(us_dollar)
36.0,Albania,2880.913,2019.0,78.6,4.9953179359436035,1.9537262965787552,51.03309374677457,1.56,13724.058789995936
59.0,Austria,8955.108,2019.0,81.5,7.195361137390137,6.054526529548869,46.81302886197124,1.56,56011.61122152856
89.0,Belarus,9452.409,2019.0,74.8,5.821453094482422,4.110974951057873,42.88780952426971,1.56,19249.285475603112
92.0,Belgium,11539.326,2019.0,81.6,6.7721381187438965,6.694853717353806,42.53497245283887,1.56,51830.74646568312
54.0,Bosnia and Herzegovina,3300.998,2019.0,77.4,6.015522480010986,3.6483050944700017,47.78103944418624,1.56,14922.148511951043
106.0,Bulgaria,7000.117,2019.0,75.0,5.108438014984131,3.8329884947918855,40.13077544955906,1.56,23265.62327294199
65.0,Croatia,4130.299,2019.0,78.5,5.625743865966797,3.641389840979266,46.208435465470494,1.56,28845.290467267307
58.0,Czech Republic,10689.213,2019.0,79.4,6.965628385543823,5.400431878609493,46.81449629504674,1.56,40828.0598371343
70.0,Denmark,5771.877,2019.0,80.9,7.693003177642822,7.047285090787336,45.32635000839959,1.56,57862.27827816243
133.0,Estonia,1325.649,2019.0,78.8,6.034641265869141,7.849581202171943,34.44290254667643,1.56,36947.706127486
33.0,Finland,5532.159,2019.0,81.9,7.78034782409668,5.7581561943789,51.271693796355734,1.56,48802.88809721102
31.0,France,65129.731,2019.0,82.7,6.6896443367004395,4.40936789088878,51.81547018852803,1.56,46112.95795446433
29.0,Germany,83517.046,2019.0,81.3,7.035472393035889,4.4374314968765525,52.73131727741721,1.56,53810.56545150887
47.0,Greece,10473.452,2019.0,82.2,5.952157497406006,4.035081312579767,48.810027623344595,1.56,30463.041047500858
69.0,Hungary,9684.68,2019.0,76.9,6.000259876251221,4.067559062255727,45.4464799797788,1.56,32639.508296179672
52.0,Iceland,339.037,2019.0,83.0,7.532504558563232,6.455306667997137,47.956885192056575,1.56,55699.716390296955
35.0,Ireland,4882.498,2019.0,82.3,7.254841327667236,5.1968290530508545,51.14850813457866,1.56,86826.3351018539
40.0,Italy,60550.092,2019.0,83.5,6.4454169273376465,4.453128052579304,50.697618294613434,1.56,42416.416713668325
118.0,Kazakhstan,18551.428,2019.0,73.6,6.272268295288086,5.71862417089122,38.64493232033265,1.56,26351.804441856802
136.0,Latvia,1906.74,2019.0,75.3,5.969753742218018,7.151485606896947,34.144972659561056,1.56,30965.451863149607
125.0,Lithuania,2759.631,2019.0,75.9,6.064097881317139,6.4180182281156455,36.857268150848284,1.56,37181.00293812896
143.0,Luxembourg,615.73,2019.0,82.3,7.40401554107666,12.589407028081958,31.723369529032396,1.56,114304.04420951448
85.0,Malta,440.377,2019.0,82.5,6.732977390289307,6.501664887579254,43.502829195146695,1.56,43585.364860839945
37.0,Moldova,4043.258,2019.0,71.9,5.803450584411621,2.0415058721504447,50.9688951639768,1.56,13022.00460153
101.0,Montenegro,627.988,2019.0,76.9,5.3860249519348145,4.222767781825852,41.33038029421311,1.56,21602.695682408812
18.0,Netherlands,17097.123,2019.0,82.3,7.425268650054932,4.593482329282738,54.949417049423985,1.56,56809.9671740595
82.0,North Macedonia,2083.458,2019.0,75.8,5.0154852867126465,2.9533363530944388,43.85874420790825,1.56,16660.450109189525
38.0,Norway,5378.859,2019.0,82.4,7.442139625549316,5.509702465298604,50.8751927488542,1.56,64962.26226563097
74.0,Poland,37887.771,2019.0,78.7,6.242094039916992,4.77005241404697,45.02260489539419,1.56,33226.26591834937
63.0,Portugal,10226.178,2019.0,82.0,6.095473289489746,4.77602117464714,46.26293283776263,1.56,34904.68577052881
64.0,Romania,19364.558,2019.0,76.0,6.129942417144775,3.925004476935302,46.21227471157532,1.56,29968.575209263057
131.0,Russia,145872.26,2019.0,72.6,5.440523624420166,5.463714556408335,34.92504652925168,1.56,27043.9353888318
26.0,Serbia,8772.228,2019.0,76.0,6.24140739440918,2.691386040970414,53.215806381808704,1.56,18350.58731467921
61.0,Slovakia,5457.012,2019.0,77.5,6.243428707122803,4.217127794801968,46.574314058080866,1.56,31965.32847425575
53.0,Slovenia,2078.654,2019.0,81.3,6.665273666381836,5.045764978081705,47.88454787844446,1.56,39029.72578685964
30.0,Spain,46736.782,2019.0,83.6,6.457449436187744,4.142668854335733,52.33551529511854,1.56,40936.21951543871
41.0,Sweden,10036.391,2019.0,82.8,7.398092746734619,5.605593112775851,50.50051612428805,1.56,52642.31519820556
4.0,Switzerland,8591.361,2019.0,83.8,7.694221019744873,4.142516115116767,60.10465034317785,1.56,68390.71298545387
102.0,Turkey,83429.607,2019.0,77.7,4.872073650360107,3.6100314357592334,41.2823479825933,1.56,28289.0887965954
103.0,Ukraine,43993.643,2019.0,72.1,4.7017621994018555,2.6432908080828525,40.902804423188925,1.56,12810.2894546923
14.0,United Kingdom,67530.161,2019.0,81.3,7.157151222229004,3.9485293572128723,55.967852543542634,1.56,46702.97841862084
