Entity,Code,Year,Indicator:Life expectancy at birth (years) - Sex:Both sexes
Afghanistan,AFG,2000,54.98949
Afghanistan,AFG,2010,59.94055
Afghanistan,AFG,2015,61.65429
Afghanistan,AFG,2019,63.2099
Africa,,2000,52.65365
Africa,,2010,59.48694
Africa,,2015,62.5606
Africa,,2019,64.49229
Albania,ALB,2000,73.54528
Albania,ALB,2010,76.24688
Albania,ALB,2015,77.84428
Albania,ALB,2019,78.00018
Algeria,DZA,2000,72.21101
Algeria,DZA,2010,75.85488
Algeria,DZA,2015,76.54363
Algeria,DZA,2019,77.13415
Americas,,2000,74.12141
Americas,,2010,75.43713
Americas,,2015,76.78436
Americas,,2019,77.15873
Angola,AGO,2000,49.30265
Angola,AGO,2010,58.06943
Angola,AGO,2015,61.71907
Angola,AGO,2019,63.06044
Antigua and Barbuda,ATG,2000,74.56184
Antigua and Barbuda,ATG,2010,75.94979
Antigua and Barbuda,ATG,2015,76.13984
Antigua and Barbuda,ATG,2019,76.45393
Argentina,ARG,2000,74.08556
Argentina,ARG,2010,75.43737
Argentina,ARG,2015,76.16682
Argentina,ARG,2019,76.57514
Armenia,ARM,2000,71.88136
Armenia,ARM,2010,73.11896
Armenia,ARM,2015,74.51096
Armenia,ARM,2019,76.02519
Australia,AUS,2000,79.69334
Australia,AUS,2010,81.9043
Australia,AUS,2015,82.2783
Australia,AUS,2019,83.04064
Austria,AUT,2000,78.16925
Austria,AUT,2010,80.3856
Austria,AUT,2015,80.98208
Austria,AUT,2019,81.64519
Azerbaijan,AZE,2000,65.52002
Azerbaijan,AZE,2010,69.02677
Azerbaijan,AZE,2015,70.6707
Azerbaijan,AZE,2019,71.42894
Bahamas,BHS,2000,70.93668
Bahamas,BHS,2010,72.95849
Bahamas,BHS,2015,72.91566
Bahamas,BHS,2019,73.21226
Bahrain,BHR,2000,70.46838
Bahrain,BHR,2010,74.51688
Bahrain,BHR,2015,76.46371
Bahrain,BHR,2019,75.81459
Bangladesh,BGD,2000,65.58728
Bangladesh,BGD,2010,70.28825
Bangladesh,BGD,2015,73.58051
Bangladesh,BGD,2019,74.25471
Barbados,BRB,2000,74.49873
Barbados,BRB,2010,75.88476
Barbados,BRB,2015,76.21642
Barbados,BRB,2019,76.0344
Belarus,BLR,2000,68.84592
Belarus,BLR,2010,70.38769
Belarus,BLR,2015,73.81525
Belarus,BLR,2019,74.80977
Belgium,BEL,2000,77.66169
Belgium,BEL,2010,79.84602
Belgium,BEL,2015,80.71184
Belgium,BEL,2019,81.42305
Belize,BLZ,2000,70.34421
Belize,BLZ,2010,73.38513
Belize,BLZ,2015,74.04993
Belize,BLZ,2019,74.40823
Benin,BEN,2000,56.59007
Benin,BEN,2010,60.47139
